shipment_id,ontime_status,infull_status,otif_status
SH-2026-000134,Ontime,Infull,OTIF
SH-2026-000135,Ontime,Infull,OTIF
SH-2026-000136,Ontime,Infull,OTIF
SH-2026-000137,Ontime,Infull,Not OTIF
SH-2026-000138,Late,Infull,Not OTIF
SH-2026-000139,Late,Infull,Not OTIF
SH-2026-000140,Late,Infull,Not OTIF
SH-2026-000141,Ontime,Infull,OTIF
SH-2026-000142,Ontime,Infull,OTIF
SH-2026-000143,Ontime,Infull,OTIF
SH-2026-000144,Ontime,Infull,OTIF
SH-2026-000145,Ontime,Infull,OTIF
SH-2026-000146,Ontime,Infull,OTIF
SH-2026-000147,Ontime,Short,Not OTIF
SH-2026-000148,Ontime,Infull,OTIF
SH-2026-000149,Ontime,Infull,OTIF
SH-2026-000150,Ontime,Infull,OTIF
SH-2026-000151,Ontime,Infull,OTIF
SH-2026-000152,Ontime,Infull,OTIF
SH-2026-000153,Ontime,Short,Not OTIF
SH-2026-000154,Ontime,Infull,OTIF
SH-2026-000155,Ontime,Infull,OTIF
SH-2026-000156,Ontime,Infull,OTIF
SH-2026-000157,Ontime,Infull,OTIF
SH-2026-000158,Ontime,Infull,OTIF
SH-2026-000159,Ontime,Infull,OTIF
SH-2026-000160,Ontime,Infull,OTIF
SH-2026-000161,Ontime,Infull,OTIF
SH-2026-000162,Ontime,Infull,OTIF
SH-2026-000163,Ontime,Infull,OTIF
SH-2026-000164,Ontime,Infull,Not OTIF
SH-2026-000165,Ontime,Infull,OTIF
SH-2026-000166,Ontime,Infull,OTIF
SH-2026-000167,Ontime,Infull,OTIF
SH-2026-000168,Ontime,Infull,OTIF
SH-2026-000169,Late,Short,Not OTIF
SH-2026-000170,Ontime,Infull,OTIF
SH-2026-000171,Ontime,Short,Not OTIF
SH-2026-000172,Ontime,Infull,Not OTIF
SH-2026-000173,Ontime,Infull,OTIF
SH-2026-000174,Ontime,Infull,OTIF
SH-2026-000175,Ontime,Infull,OTIF
SH-2026-000176,Ontime,Infull,OTIF
SH-2026-000177,Ontime,Infull,OTIF
SH-2026-000178,Ontime,Infull,OTIF
SH-2026-000179,Ontime,Infull,OTIF
SH-2026-000180,Ontime,Infull,OTIF
SH-2026-000181,Ontime,Infull,OTIF
SH-2026-000182,Ontime,Infull,OTIF
SH-2026-000183,Ontime,Short,Not OTIF
SH-2026-000184,Ontime,Infull,OTIF
SH-2026-000185,Ontime,Infull,OTIF
SH-2026-000186,Ontime,Infull,OTIF
SH-2026-000187,Ontime,Infull,OTIF
SH-2026-000188,Ontime,Infull,OTIF
SH-2026-000189,Ontime,Infull,OTIF
SH-2026-000190,Ontime,Short,Not OTIF
SH-2026-000191,Ontime,Short,Not OTIF
SH-2026-000192,Ontime,Short,Not OTIF
SH-2026-000193,Ontime,Infull,OTIF
SH-2026-000194,Ontime,Infull,OTIF
SH-2026-000195,Ontime,Infull,OTIF
SH-2026-000196,Ontime,Infull,OTIF
SH-2026-000197,Ontime,Infull,OTIF
SH-2026-000198,Ontime,Infull,OTIF
SH-2026-000199,Ontime,Infull,OTIF
SH-2026-000200,Ontime,Infull,OTIF
SH-2026-000201,Ontime,Infull,OTIF
SH-2026-000202,Ontime,Infull,OTIF
SH-2026-000203,Ontime,Infull,OTIF
SH-2026-000204,Ontime,Infull,OTIF
SH-2026-000205,Ontime,Infull,OTIF
SH-2026-000206,Ontime,Infull,OTIF
SH-2026-000207,Ontime,Infull,OTIF
SH-2026-000208,Ontime,Infull,OTIF
SH-2026-000209,Ontime,Infull,OTIF
SH-2026-000210,Ontime,Infull,OTIF
SH-2026-000211,Ontime,Infull,OTIF
SH-2026-000212,Ontime,Infull,OTIF
SH-2026-000213,Ontime,Infull,OTIF
SH-2026-000214,Ontime,Infull,OTIF
SH-2026-000215,Ontime,Infull,OTIF
SH-2026-000216,Ontime,Infull,OTIF
SH-2026-000217,Ontime,Infull,OTIF
SH-2026-000218,Ontime,Infull,OTIF
SH-2026-000219,Ontime,Infull,OTIF
SH-2026-000220,Ontime,Infull,OTIF
SH-2026-000221,Ontime,Infull,OTIF
SH-2026-000222,Ontime,Infull,OTIF
SH-2026-000223,Ontime,Infull,OTIF
SH-2026-000224,Ontime,Infull,OTIF
SH-2026-000225,Ontime,Infull,OTIF
SH-2026-000226,Ontime,Infull,OTIF
SH-2026-000227,Ontime,Infull,OTIF
SH-2026-000228,Ontime,Infull,OTIF
SH-2026-000229,Ontime,Infull,OTIF
SH-2026-000230,Ontime,Infull,OTIF
SH-2026-000231,Ontime,Infull,OTIF
SH-2026-000232,Ontime,Infull,OTIF
SH-2026-000233,Ontime,Infull,OTIF
SH-2026-000234,Ontime,Infull,OTIF
SH-2026-000235,Ontime,Infull,OTIF
SH-2026-000236,Ontime,Infull,OTIF
SH-2026-000237,Ontime,Infull,OTIF
SH-2026-000238,Ontime,Infull,OTIF
SH-2026-000239,Ontime,Infull,OTIF
SH-2026-000240,Ontime,Infull,OTIF
SH-2026-000241,Ontime,Infull,OTIF
SH-2026-000242,Ontime,Infull,OTIF
SH-2026-000243,Ontime,Infull,OTIF
SH-2026-000244,Ontime,Infull,OTIF
SH-2026-000245,Ontime,Infull,OTIF
SH-2026-000246,Ontime,Infull,OTIF
SH-2026-000247,Ontime,Infull,OTIF
SH-2026-000248,Ontime,Infull,OTIF
SH-2026-000249,Ontime,Infull,OTIF
SH-2026-000250,Ontime,Infull,OTIF
SH-2026-000251,Ontime,Infull,OTIF
SH-2026-000252,Ontime,Infull,OTIF
SH-2026-000253,Ontime,Infull,OTIF
SH-2026-000254,Ontime,Infull,OTIF
SH-2026-000255,Ontime,Infull,OTIF
SH-2026-000256,Ontime,Infull,OTIF
SH-2026-000257,Ontime,Infull,OTIF
SH-2026-000258,Ontime,Infull,OTIF
SH-2026-000259,Ontime,Infull,OTIF
SH-2026-000260,Ontime,Infull,OTIF
SH-2026-000261,Ontime,Infull,OTIF
SH-2026-000262,Ontime,Infull,OTIF
SH-2026-000263,Ontime,Infull,OTIF
SH-2026-000264,Ontime,Infull,OTIF
SH-2026-000265,Ontime,Infull,OTIF
SH-2026-000266,Ontime,Infull,OTIF
SH-2026-000267,Ontime,Infull,OTIF
SH-2026-000268,Ontime,Infull,OTIF
SH-2026-000269,Ontime,Infull,OTIF
SH-2026-000270,Ontime,Infull,OTIF
SH-2026-000271,Ontime,Infull,OTIF
SH-2026-000272,Ontime,Infull,OTIF
SH-2026-000273,Ontime,Infull,OTIF
SH-2026-000274,Ontime,Infull,OTIF
SH-2026-000275,Ontime,Infull,OTIF
SH-2026-000276,Ontime,Infull,OTIF
SH-2026-000277,Ontime,Infull,OTIF
SH-2026-000278,Ontime,Infull,OTIF
SH-2026-000279,Ontime,Infull,OTIF
SH-2026-000280,Ontime,Infull,OTIF
SH-2026-000281,Ontime,Infull,OTIF
SH-2026-000282,Ontime,Infull,OTIF
SH-2026-000283,Ontime,Infull,OTIF
SH-2026-000284,Ontime,Infull,OTIF
SH-2026-000285,Ontime,Infull,OTIF
SH-2026-000286,Ontime,Infull,OTIF
SH-2026-000287,Ontime,Infull,OTIF
SH-2026-000288,Ontime,Infull,OTIF
SH-2026-000289,Ontime,Infull,OTIF
SH-2026-000290,Ontime,Infull,OTIF
SH-2026-000291,Ontime,Infull,OTIF
SH-2026-000292,Ontime,Infull,OTIF
SH-2026-000293,Ontime,Infull,OTIF
SH-2026-000294,Ontime,Infull,OTIF
SH-2026-000295,Ontime,Infull,OTIF
SH-2026-000296,Ontime,Infull,OTIF
SH-2026-000297,Ontime,Infull,OTIF
SH-2026-000298,Ontime,Infull,OTIF
SH-2026-000299,Ontime,Infull,OTIF
SH-2026-000300,Ontime,Infull,OTIF
SH-2026-000301,Ontime,Infull,OTIF
SH-2026-000302,Ontime,Infull,OTIF
SH-2026-000303,Ontime,Infull,OTIF
SH-2026-000304,Ontime,Infull,OTIF
SH-2026-000305,Ontime,Infull,OTIF
SH-2026-000306,Ontime,Infull,OTIF
SH-2026-000307,Ontime,Infull,OTIF
SH-2026-000308,Ontime,Infull,OTIF
SH-2026-000309,Ontime,Infull,OTIF
SH-2026-000310,Ontime,Infull,OTIF
SH-2026-000311,Ontime,Infull,OTIF
SH-2026-000312,Ontime,Infull,OTIF
SH-2026-000313,Ontime,Infull,OTIF
SH-2026-000314,Ontime,Infull,OTIF
SH-2026-000315,Ontime,Infull,OTIF
SH-2026-000316,Ontime,Infull,OTIF
SH-2026-000317,Ontime,Infull,OTIF
SH-2026-000318,Ontime,Infull,OTIF
SH-2026-000319,Ontime,Infull,OTIF
SH-2026-000320,Ontime,Infull,OTIF
SH-2026-000321,Ontime,Infull,OTIF
SH-2026-000322,Ontime,Infull,OTIF
SH-2026-000323,Ontime,Infull,OTIF
SH-2026-000324,Ontime,Infull,OTIF
SH-2026-000325,Ontime,Infull,OTIF
SH-2026-000326,Ontime,Infull,OTIF
SH-2026-000327,Ontime,Infull,OTIF
SH-2026-000328,Ontime,Infull,OTIF
SH-2026-000329,Ontime,Infull,OTIF
SH-2026-000330,Ontime,Infull,OTIF
SH-2026-000331,Ontime,Infull,OTIF
SH-2026-000332,Ontime,Infull,OTIF
SH-2026-000333,Ontime,Infull,OTIF
SH-2026-000334,Ontime,Infull,OTIF
SH-2026-000335,Ontime,Infull,OTIF
SH-2026-000336,Ontime,Infull,OTIF
SH-2026-000337,Ontime,Infull,OTIF
SH-2026-000338,Ontime,Infull,OTIF
SH-2026-000339,Ontime,Infull,OTIF
SH-2026-000340,Ontime,Infull,OTIF
SH-2026-000341,Ontime,Infull,OTIF
SH-2026-000342,Ontime,Infull,OTIF
SH-2026-000343,Ontime,Infull,OTIF
SH-2026-000344,Ontime,Infull,OTIF
SH-2026-000345,Ontime,Infull,OTIF
SH-2026-000346,Ontime,Infull,OTIF
SH-2026-000347,Ontime,Infull,OTIF
SH-2026-000348,Ontime,Infull,OTIF
SH-2026-000349,Ontime,Infull,OTIF
SH-2026-000350,Ontime,Infull,OTIF
SH-2026-000351,Ontime,Infull,OTIF
SH-2026-000352,Ontime,Infull,OTIF
SH-2026-000353,Ontime,Infull,OTIF
SH-2026-000354,Ontime,Infull,OTIF
SH-2026-000355,Ontime,Infull,OTIF
SH-2026-000356,Ontime,Infull,OTIF
SH-2026-000357,Ontime,Infull,OTIF
SH-2026-000358,Ontime,Infull,OTIF
SH-2026-000359,Ontime,Infull,OTIF
SH-2026-000360,Ontime,Infull,OTIF
SH-2026-000361,Ontime,Infull,OTIF
SH-2026-000362,Ontime,Infull,OTIF
SH-2026-000363,Ontime,Infull,OTIF
SH-2026-000364,Ontime,Infull,OTIF
SH-2026-000365,Ontime,Infull,OTIF
SH-2026-000366,Ontime,Infull,OTIF
SH-2026-000367,Ontime,Infull,OTIF
SH-2026-000368,Ontime,Infull,OTIF
SH-2026-000369,Ontime,Infull,OTIF
SH-2026-000370,Ontime,Infull,OTIF
SH-2026-000371,Ontime,Infull,OTIF
SH-2026-000372,Ontime,Infull,OTIF
SH-2026-000373,Ontime,Infull,OTIF
SH-2026-000374,Ontime,Infull,OTIF
SH-2026-000375,Ontime,Infull,OTIF
SH-2026-000376,Ontime,Infull,OTIF
SH-2026-000377,Ontime,Infull,OTIF
SH-2026-000378,Ontime,Infull,OTIF
SH-2026-000379,Ontime,Infull,OTIF
SH-2026-000380,Ontime,Infull,OTIF
SH-2026-000381,Ontime,Infull,OTIF
SH-2026-000382,Ontime,Infull,OTIF
SH-2026-000383,Ontime,Infull,OTIF
SH-2026-000384,Ontime,Infull,OTIF
SH-2026-000385,Ontime,Infull,OTIF
SH-2026-000386,Ontime,Infull,OTIF
SH-2026-000387,Ontime,Infull,OTIF
SH-2026-000388,Ontime,Infull,OTIF
SH-2026-000389,Ontime,Infull,OTIF
SH-2026-000390,Ontime,Infull,OTIF
SH-2026-000391,Ontime,Infull,OTIF
SH-2026-000392,Ontime,Infull,OTIF
SH-2026-000393,Ontime,Infull,OTIF
SH-2026-000394,Ontime,Infull,OTIF
SH-2026-000395,Ontime,Infull,OTIF
SH-2026-000396,Ontime,Infull,OTIF
SH-2026-000397,Ontime,Infull,OTIF
SH-2026-000398,Ontime,Infull,OTIF
SH-2026-000399,Ontime,Infull,OTIF
SH-2026-000400,Ontime,Infull,OTIF
SH-2026-000401,Ontime,Infull,OTIF
SH-2026-000402,Ontime,Infull,OTIF
SH-2026-000403,Ontime,Infull,OTIF
SH-2026-000404,Ontime,Infull,OTIF
SH-2026-000405,Ontime,Infull,OTIF
SH-2026-000406,Ontime,Infull,OTIF
SH-2026-000407,Ontime,Infull,OTIF
SH-2026-000408,Ontime,Infull,OTIF
SH-2026-000409,Ontime,Infull,OTIF
SH-2026-000410,Ontime,Infull,OTIF
SH-2026-000411,Ontime,Infull,OTIF
SH-2026-000412,Ontime,Infull,OTIF
SH-2026-000413,Ontime,Infull,OTIF
SH-2026-000414,Ontime,Infull,OTIF
SH-2026-000415,Ontime,Infull,OTIF
SH-2026-000416,Ontime,Infull,OTIF
SH-2026-000417,Ontime,Infull,OTIF
SH-2026-000418,Ontime,Infull,OTIF
SH-2026-000419,Ontime,Infull,OTIF
SH-2026-000420,Ontime,Infull,OTIF
SH-2026-000421,Ontime,Infull,OTIF
SH-2026-000422,Ontime,Infull,OTIF
SH-2026-000423,Ontime,Infull,OTIF
SH-2026-000424,Ontime,Infull,OTIF
SH-2026-000425,Ontime,Infull,OTIF
SH-2026-000426,Ontime,Infull,OTIF
SH-2026-000427,Ontime,Infull,OTIF
SH-2026-000428,Ontime,Infull,OTIF
SH-2026-000429,Ontime,Infull,OTIF
SH-2026-000430,Ontime,Infull,OTIF
SH-2026-000431,Ontime,Infull,OTIF
SH-2026-000432,Ontime,Infull,OTIF
SH-2026-000433,Ontime,Infull,OTIF
SH-2026-000434,Ontime,Infull,OTIF
SH-2026-000435,Ontime,Infull,OTIF
SH-2026-000436,Ontime,Infull,OTIF
SH-2026-000437,Ontime,Infull,OTIF
SH-2026-000438,Ontime,Infull,OTIF
SH-2026-000439,Ontime,Infull,OTIF
SH-2026-000440,Ontime,Infull,OTIF
SH-2026-000441,Ontime,Infull,OTIF
SH-2026-000442,Ontime,Infull,OTIF
SH-2026-000443,Ontime,Infull,OTIF
SH-2026-000444,Ontime,Infull,OTIF
SH-2026-000445,Ontime,Infull,OTIF
SH-2026-000446,Ontime,Infull,OTIF
SH-2026-000447,Ontime,Infull,OTIF
SH-2026-000448,Ontime,Infull,OTIF
SH-2026-000449,Ontime,Infull,OTIF
SH-2026-000450,Ontime,Infull,OTIF
SH-2026-000451,Ontime,Infull,OTIF
SH-2026-000452,Ontime,Infull,OTIF
SH-2026-000453,Ontime,Short,Not OTIF
SH-2026-000454,Ontime,Short,Not OTIF
SH-2026-000455,Ontime,Infull,OTIF
SH-2026-000456,Ontime,Infull,OTIF
SH-2026-000457,Ontime,Short,Not OTIF
SH-2026-000458,Ontime,Infull,OTIF
SH-2026-000459,Ontime,Infull,OTIF
SH-2026-000460,Ontime,Infull,OTIF
SH-2026-000461,Ontime,Infull,OTIF
SH-2026-000462,Ontime,Infull,OTIF
SH-2026-000463,Ontime,Infull,OTIF
SH-2026-000464,Ontime,Infull,OTIF
SH-2026-000465,Ontime,Infull,OTIF
SH-2026-000466,Ontime,Short,Not OTIF
SH-2026-000467,Ontime,Infull,OTIF
SH-2026-000468,Ontime,Infull,OTIF
SH-2026-000469,Ontime,Infull,OTIF
SH-2026-000470,Ontime,Infull,OTIF
SH-2026-000471,Ontime,Infull,OTIF
SH-2026-000472,Ontime,Infull,OTIF
SH-2026-000473,Ontime,Infull,OTIF
SH-2026-000474,Ontime,Infull,OTIF
SH-2026-000475,Ontime,Infull,OTIF
SH-2026-000476,Ontime,Infull,OTIF
SH-2026-000477,Ontime,Infull,OTIF
SH-2026-000478,Ontime,Infull,OTIF
SH-2026-000479,Ontime,Infull,OTIF
SH-2026-000480,Ontime,Infull,OTIF
SH-2026-000481,Ontime,Infull,OTIF
SH-2026-000482,Ontime,Infull,OTIF
SH-2026-000483,Ontime,Infull,OTIF
SH-2026-000484,Ontime,Infull,Not OTIF
SH-2026-000485,Ontime,Infull,OTIF
SH-2026-000486,Ontime,Short,Not OTIF
SH-2026-000487,Ontime,Infull,OTIF
SH-2026-000488,Ontime,Infull,OTIF
SH-2026-000489,Ontime,Infull,OTIF
SH-2026-000490,Ontime,Infull,OTIF
SH-2026-000491,Ontime,Infull,OTIF
SH-2026-000492,Ontime,Infull,OTIF
SH-2026-000493,Ontime,Infull,OTIF
SH-2026-000494,Ontime,Infull,OTIF
SH-2026-000495,Ontime,Infull,OTIF
SH-2026-000496,Ontime,Infull,OTIF
SH-2026-000497,Ontime,Infull,OTIF
SH-2026-000498,Ontime,Infull,OTIF
SH-2026-000499,Ontime,Infull,OTIF
SH-2026-000500,Ontime,Infull,OTIF
SH-2026-000501,Ontime,Infull,OTIF
SH-2026-000502,Ontime,Infull,OTIF
SH-2026-000503,Ontime,Infull,OTIF
SH-2026-000504,Ontime,Infull,OTIF
SH-2026-000505,Ontime,Infull,OTIF
SH-2026-000506,Ontime,Infull,OTIF
SH-2026-000507,Ontime,Infull,OTIF
SH-2026-000508,Ontime,Infull,OTIF
SH-2026-000509,Ontime,Short,Not OTIF
SH-2026-000510,Ontime,Infull,OTIF
SH-2026-000511,Ontime,Infull,OTIF
SH-2026-000512,Ontime,Infull,OTIF
SH-2026-000513,Ontime,Infull,OTIF
SH-2026-000514,Ontime,Infull,OTIF
SH-2026-000515,Ontime,Infull,OTIF
SH-2026-000516,Ontime,Infull,OTIF
SH-2026-000517,Ontime,Infull,OTIF
SH-2026-000518,Ontime,Infull,OTIF
SH-2026-000519,Ontime,Infull,OTIF
SH-2026-000520,Ontime,Infull,OTIF
SH-2026-000521,Ontime,Infull,OTIF
SH-2026-000522,Ontime,Infull,OTIF
SH-2026-000523,Ontime,Infull,OTIF
SH-2026-000524,Ontime,Short,Not OTIF
SH-2026-000525,Ontime,Infull,OTIF
SH-2026-000526,Ontime,Infull,OTIF
SH-2026-000527,Ontime,Infull,OTIF
SH-2026-000528,Ontime,Infull,OTIF
SH-2026-000529,Late,Infull,Not OTIF
SH-2026-000530,Ontime,Short,Not OTIF
SH-2026-000531,Ontime,Infull,OTIF
SH-2026-000532,Ontime,Infull,OTIF
SH-2026-000533,Ontime,Infull,Not OTIF
SH-2026-000534,Late,Infull,Not OTIF
SH-2026-000535,Ontime,Infull,OTIF
SH-2026-000536,Ontime,Infull,OTIF
SH-2026-000537,Ontime,Infull,OTIF
SH-2026-000538,Ontime,Infull,OTIF
SH-2026-000539,Ontime,Infull,OTIF
SH-2026-000540,Ontime,Infull,OTIF
SH-2026-000541,Ontime,Short,Not OTIF
SH-2026-000542,Ontime,Infull,OTIF
SH-2026-000543,Ontime,Infull,OTIF
SH-2026-000544,Ontime,Infull,OTIF
SH-2026-000545,Ontime,Infull,Not OTIF
SH-2026-000546,Ontime,Infull,OTIF
SH-2026-000547,Ontime,Infull,OTIF
SH-2026-000548,Ontime,Infull,OTIF
SH-2026-000549,Ontime,Infull,OTIF
SH-2026-000550,Ontime,Infull,OTIF
SH-2026-000551,Ontime,Infull,OTIF
SH-2026-000552,Ontime,Infull,OTIF
SH-2026-000553,Ontime,Infull,OTIF
SH-2026-000554,Ontime,Infull,OTIF
SH-2026-000555,Ontime,Infull,OTIF
SH-2026-000556,Ontime,Infull,OTIF
SH-2026-000557,Ontime,Infull,OTIF
SH-2026-000558,Ontime,Infull,OTIF
SH-2026-000559,Ontime,Infull,OTIF
SH-2026-000560,Ontime,Infull,OTIF
SH-2026-000561,Ontime,Infull,OTIF
SH-2026-000562,Ontime,Infull,OTIF
SH-2026-000563,Ontime,Infull,OTIF
SH-2026-000564,Ontime,Infull,OTIF
SH-2026-000565,Ontime,Infull,OTIF
SH-2026-000566,Ontime,Infull,OTIF
SH-2026-000567,Ontime,Infull,OTIF
SH-2026-000568,Ontime,Infull,OTIF
SH-2026-000569,Ontime,Infull,OTIF
SH-2026-000570,Ontime,Infull,OTIF
SH-2026-000571,Ontime,Infull,OTIF
SH-2026-000572,Ontime,Short,Not OTIF
SH-2026-000573,Ontime,Infull,OTIF
SH-2026-000574,Late,Infull,Not OTIF
SH-2026-000575,Ontime,Infull,OTIF
SH-2026-000576,Ontime,Infull,OTIF
SH-2026-000577,Ontime,Infull,OTIF
SH-2026-000578,Ontime,Infull,OTIF
SH-2026-000579,Ontime,Infull,OTIF
SH-2026-000580,Ontime,Infull,OTIF
SH-2026-000581,Ontime,Infull,OTIF
SH-2026-000582,Ontime,Infull,OTIF
SH-2026-000583,Ontime,Infull,OTIF
SH-2026-000584,Ontime,Infull,OTIF
SH-2026-000585,Ontime,Infull,OTIF
SH-2026-000586,Ontime,Infull,OTIF
SH-2026-000587,Ontime,Infull,OTIF
SH-2026-000588,Ontime,Infull,OTIF
SH-2026-000589,Ontime,Infull,OTIF
SH-2026-000590,Ontime,Infull,OTIF
SH-2026-000591,Ontime,Infull,OTIF
SH-2026-000592,Ontime,Infull,OTIF
SH-2026-000593,Ontime,Infull,OTIF
SH-2026-000594,Ontime,Infull,OTIF
SH-2026-000595,Ontime,Infull,OTIF
SH-2026-000596,Late,Infull,Not OTIF
SH-2026-000597,Ontime,Short,Not OTIF
SH-2026-000598,Ontime,Infull,OTIF
SH-2026-000599,Ontime,Infull,OTIF
SH-2026-000600,Ontime,Infull,OTIF
SH-2026-000601,Ontime,Short,Not OTIF
SH-2026-000602,Ontime,Infull,OTIF
SH-2026-000603,Ontime,Infull,OTIF
